CD_TIP_PRC,NM_TIP_PRC
14467,"ACP - REDU«√O DE DIREITOS"
14605,"ASSESSORIA BAIXA DE GRAVAMES - VEÕCULOS"
14606,"ASSESSORIA BAIXA DE GRAVAMES - MAQ/EQUIP"
14607,"ASSESSORIA BAIXA DE GRAVAMES - IM”VEIS"
14608,"INFORMA«’ES/DOCUMENTOS BENS N√O DE USO"
14611,"VEÕCULOS - BUSCA E APREENS√O"
14612,"VEÕCULOS - EXECU«√O"
14613,"VEÕCULOS - REINTEGRA«√O DE POSSE"
14614,"MAQ/EQUIP - BUSCA E APREENS√O"
14615,"MAQ/EQUIP - EXECU«√O"
14616,"MAQ/EQUIP - REINTEGRA«√O DE POSSE"
14617,"IM”VEIS - CONSOLIDA«√O DE PROPRIEDADE"
14618,"IM”VEIS - ARREMATA«√O/ADJUDICA«√O/DA«√O"
16949,"BAIXA DE GRAVAMES - JUDICIAL"
22026,"CONCILIA«√O CONT¡BIL"
23378,"REPESCAGEM-INFORMA«’ES/DOCUMENTOS BENS N√O DE USO"
23379,"REPESCAGEM-BAIXA DE GRAVAMES JUDICIAL"
14619,"MANIFESTA«√O HASTA OU ADJUDICA«√O"
14620,"ADJUDICA«√O DE BEM"
14621,"PARTICIPA«√O EM HASTA P⁄BLICA"
23385,"REPESCAGEM-MANIFESTA«√O HASTA OU ADJUDICA«√O"
14622,"CERTID√O/PESQUISA PATRIMONIAL"
14623,"DOCUMENTOS DE JUNTA COMERCIAL/IPTU/CROQUI"
14624,"CERTID√O DE ”BITO / INVENT¡RIO"
14625,"PESQUISA PATRIMONIAL PR…-AJUIZAMENTO"
14626,"VALORA«√O E CADASTRAMENTO"
23384,"REPESCAGEM-PESQUISA PATRIMONIAL"
14627,"PAGAMENTO DE GUIAS"
14628,"ASSESSORIA DEVOLU«√O AMIG¡VEL"
14629,"DESBLOQUEIO DE OPERA«√O/DESPESAS"
14630,"INTIMA«√O DE CLIENTE"
14631,"INCORPORA«√O CONSOLIDADO DESPACHANTE"
14632,"INCORPORA«√O ESTEIRA COMPLETA"
14633,"PAGAMENTO DESPACHANTE"
14634,"RESSARCIMENTO DESPACHANTE"
22025,"CONCILIA«√O CONT¡BIL"
22083,"INFORMA«’ES/DOCUMENTOS DE CR…DITO IMOBILI¡RIO"
23380,"REPESCAGEM-INFORMA«’ES/DOCTOS CR…DITO IMOBILI¡RIO"
23737,"ATUALIZA«√O DE CUSTAS - FIDUCIAL/PDTEC"
24044,"INTIMA«√O DE CLIENTE/PROCESSO"
14635,"C¡LCULO DE PISO"
14636,"INDICA«√O DE COMARCAS"
14637,"AJUSTE DE C¡LCULO DE PISO (AT… 6 MESES)"
14638,"REC¡LCULO ÕNDICE CDI DE PISO"
14639,"C¡LCULO DE PISO - EXPRESSO"
16395,"OPINI√O DE VALOR - BENS M”VEIS"
16396,"OPINI√O DE VALOR - BENS IM”VEIS"
16397,"AVALIA«√O T…CNICA - BENS M”VEIS"
16398,"AVALIA«√O T…CNICA - BENS IM”VEIS"
16399,"AVALIA«√O T…CNICA - EMPREENDIMENTOS"
16400,"AVALIA«√O - EXPRESSO"
16401,"CADASTRAMENTO DE BENS"
22910,"ASSESSORIA EM LEVANTAMENTO PATRIMONIAL PARA MAPS"
16950,"VERIFICAR PAR¬METROS"
21668,"CONCILIA«√O CONT¡BIL"
21669,"VERIFICA«√O DE BALANCETE"
22911,"CDC REESCALONAMENTO"
13514,"ORDEM PARA O EXTERIOR"
13515,"ORDEM DO EXTERIOR"
13516,"GECEX RESPONDE"
14342,FRAUDE
14343,"ORDEM DO EXTERIOR - RETRANSMISS√O/DEVOLU«√O"
14344,"CONDU«√O OPE"
13965,VTM
13517,"PEDIDOS NA PLATAFORMA INTERBANC¡RIO"
13801,"AN¡LISE DEMANDA DE INTERBANC¡RIO"
13518,"PEDIDOS NA PLATAFORMA INTERBANC¡RIO"
13802,"CONTATAR INSTITUI«’ES FINANCEIRAS"
13519,"FORMALIZA«√O DAS OPERA«’ES DE ITB"
13803,"FORMALIZA«√O DAS OPERA«’ES DE ITB"
13520,"ATENDIMENTO DEMANDAS ESPOR¡DICAS"
13521,"ENVIO / RECEP«√O DE STR"
13522,"OPERA«’ES DI¡RIAS"
13523,"BASE DE DADOS"
13524,"PROCESSO PARA FECHAMENTO DAS OPERA«’ES MENSAIS"
13525,"DADOS DI¡RIOS"
13535,"ENCERRAMENTO DE CONTAS"
13931,"ENCERRAMENTO DE CONTAS - BB ATENDE"
13545,CURADORIA
17057,"POC/LOUIS - RG"
17074,"POC/LOUIS - CNH"
17075,"POC/LOUIS - CONTRATO SOCIAL"
17076,"POC/LOUIS - PROCURA«√O"
24012,"FALSIDADE IDEOLOGICA"
24116,CURADORIA
13540,"ABRIR CONTA VINCULADA"
13541,"CONTABILIZAR SALDO DEPOSITADO"
13542,"ATENDER SUBSÕDIO"
13547,"CARTA DE CR…DITO EXPORTA«√O"
13548,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13790,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13783,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
14065,"CARTA DE CR…DITO DE EXPORTA«√O"
14092,"COBRANCA DOCUMENTARIA DE EXPORTA«√O"
13786,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13787,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
14093,"AGENDA FINANCEIRA - DESEMBOLSO PROEX"
14227,"PAGAMENTO FATURA SWIFT"
14280,"TRANSFER NCIA DE ORE"
14306,"AGENDA FINANCEIRA - AVISO CR…DITO AO CLIENTE"
14307,"AGENDA FINANCEIRA - DEMANDAR BANQUEIRO"
14308,"AGENDA FINANCEIRA - COMAG"
13791,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13792,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13793,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13789,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13788,"COBRANCA DOCUMENTARIA DE IMPORTACAO"
13976,"CARTA DE CR…DITO DE EXPORTA«√O"
16536,"CARTA DE CR…DITO DE EXPORTA«√O"
16489,"AVISO SWIFT BANQUEIRO"
16490,"AVISO CREDITO BNDES"
16491,TRANSFER NCIA
16492,"FECHAMENTO DE C¬MBIO"
16493,"LIQUIDA«√O DE CONTRATO"
16494,"PEDIDO N⁄MERO EQUAL - FORM 2"
16495,"PEDIDO NTN - FORM 3/4"
16496,"SERVI«OS DIVERSOS"
17564,"AN¡LISE LPCO"
17598,AN¡LISE
17599,"BUSCA ACEITE"
17600,"BUSCA PAGAMENTO"
17601,"LIQUIDA«√O PROEX"
17602,SINISTRO
21105,ACEITE
21553,"VENCIMENTO REMESSA"
21681,PAGAMENTO
17811,AN¡LISE
17812,RETIFICA«√O
17813,"CADASTRO DE BANCO MANDAT¡RIO"
17814,COFIG
17815,DESEMBOLSO
21561,AN¡LISE
22610,"CARTA DE CR…DITO EXPORTA«√O"
22611,"CARTA DE CR…DITO EXPORTA«√O"
22612,"MT 202 910"
22613,"AGENDA - CARTA DE CR…DITO EXPORTA«√O"
23695,"AGENDA - COBRAN«A DE EXPORTA«√O"
13549,"AJUIZAR COOBRIGADOS-VERIFICA«√O DE DOCUMENTOS"
13550,"AJUIZAR INTERVENIENTE-GARANTE-VERIFICA«√O DE DOCUM"
13551,"AJUIZAR COOBRIGADOS-C¡LCULO"
13552,"AJUIZAR INTERVENIENTE-GARANTE-C¡LCULO"
13553,"VERIFICA«√O DE DOCUMENTOS-DEVOLUCAO"
13554,C¡LCULOS-DEVOLUCAO
13555,"AGUARDANDO DOCUMENTA«√O-DEVOLUCAO"
13556,"T-AGUARDANDO DOCUMENTA«√O-DEVOLUCAO"
13557,"T-TRIAGEM E VERIFICA«√O DE DOCUMENTOS-DEVOLUCAO"
13558,"T-ELABORA«√O DE EXTRATOS-DEVOLUCAO"
13559,"T-DISTRIBUI«√O AO ADVOGADO-DEVOLUCAO"
13560,"C.DGTL-AGUARDANDO DOCUMENTA«√O-DEVOLUCAO"
13561,"C.DGTL-VERIFICA«√O DE DOCUMENTOS-DEVOLUCAO"
13562,C.DGTL-C¡LCULOS-DEVOLUCAO
13563,"T-C.DGTL-AGUARDANDO DOCUMENTA«√O-DEVOLUCAO"
13564,"T-C.DGTL-TRIAGEM E VERIFICA«√O DE DOCUMENTOS-DEVOL"
13565,"T-C.DGTL-ELABORA«√O DE EXTRATOS-DEVOLUCAO"
13566,"T-C.DGTL-DISTRIBUI«√O AO ADVOGADO-DEVOLUCAO"
13567,"C¡CULOS BBTS/FE"
13568,"C.DGTL-C¡LCULOS BBTS/FE"
13569,"AGUARDANDO DOCUMENTA«√O-CHECKLIST"
13570,"VERIFICA«√O DE DOCUMENTOS-CHECKLIST"
13571,C¡LCULOS-CHECKLIST
13572,"C.DGTL-AGUARDANDO DOCUMENTA«√O-CHECKLIST"
13573,"C.DGTL-VERIFICA«√O DE DOCUMENTOS-CHECKLIST"
13574,C.DGTL-C¡LCULOS-CHECKLIST
13575,"T-AGUARDANDO DOCUMENTA«√O-CHECKLIST"
13576,"T-TRIAGEM E VERIFICA«√O DE DOCUMENTOS-CHECKLIST"
13577,"T-ELABORA«√O DE EXTRATOS-CHECKLIST"
13578,"T-DISTRIBUI«√O AO ADVOGADO-CHECKLIST"
13579,"T-C.DGTL-AGUARDANDO DOCUMENTA«√O-CHECKLIST"
13580,"T-C.DGTL-TRIAGEM E VERIFICA«√O DE DOCUMENTOS-CHECK"
13581,"T-C.DGTL-ELABORA«√O DE EXTRATOS-CHECKLIST"
13582,"T-C.DGTL-DISTRIBUI«√O AO ADVOGADO-CHECKLIST"
13583,"AJUIZAR OPERA«’ES-CDC CONSIGNADO-DEVOLU«√O"
13584,"AJUIZAR OPERA«’ES-CONV NIO CDC CONSIGNADO"
13585,"T-AGUARDANDO DOCUMENTA«√O-CK-VEÕCULO"
13586,"T-TRIAGEM E VERIFICA«√O DE DOCUMENTOS-CK-VEÕCULO"
13587,"T-ELABORA«√O DE EXTRATOS-CK-VEÕCULO"
13588,"T-DISTRIBUI«√O AO ADVOGADO-CK-VEÕCULO"
13589,"T-C.DGTL-AGUARDANDO DOCUMENTA«√O-CK-VEÕCULO"
13590,"T-C.DGTL-TRIAGEM E VERIFICA«√O DE DOCUMENTOS-CK-VE"
13591,"T-C.DGTL-ELABORA«√O DE EXTRATOS-CK-VEÕCULO"
13592,"T-C.DGTL-DISTRIBUI«√O AO ADVOGADO-CK-VEÕCULO"
13593,"T-ELABORA«√O DE EXTRATOS-ATUALIZA«√O"
13594,"T-ELABORA«√O DE EXTRATOS-ATUALIZA«√O PR…-PROCESSO"
13595,"T-ATENDER SUBSÕDIO-DOCUMENTOS"
13596,"T-DEVOLVER DOCUMENTA«√O-CHECKLIST CANCELADO"
13597,"T-AGUARDANDO PRAZO DE BLOQUEIO SUSPENSIVO-DOCUME"
13598,"ANALISAR PROCESSO ENCERRADO"
13599,"T-SOLICITA«√O DE BLOQUEIO-DEVOLUCAO"
13600,"T-SOLICITA«√O DE BLOQUEIO-ELABORA«√O DE EXTRATOS-D"
13601,"T-SOLICITA«√O DE BLOQUEIO-DISTRIBUI«√O AO ADVOGADO"
13602,"DEVOLVER DOCUMENTA«√O-CHECKLIST CANCELADO"
13603,"AGUARDANDO PRAZO DE BLOQUEIO SUSPENSIVO-DOCUMENTA«"
13604,"ATUALIZAR C¡LCULO JUDICIAL"
13605,"CUMPRIR MANDADO DE BAIXA DE RESTRI«’ES"
13606,"FORNECER DOCUMENTOS"
13607,"ELABORAR EXTRATOS DE OPERA«’ES OU CONTA CORRENTE"
13608,"FORNECER INFORMA«’ES"
13609,"INDICAR ASSISTENTE GRAFOT…CNICO"
13610,"INDICAR ASSISTENTE T…CNICO CONT¡BIL"
13611,"INDICAR ASSISTENTE T…CNICO PARA AVALIA«√O JUDICIAL"
13612,"INDICAR PREPOSTO"
13613,"MANIFESTAR SOBRE AVALIA«√O JUDICIAL"
13614,"MANIFESTAR SOBRE CESS√O DE CR…DITO DE OPERA«’ES ¿"
13615,"REDIRECIONAR SUBSÕDIOS"
13616,"ATENDER SUBSÕDIOS-TRIAGEM"
13617,"ATUALIZAR C¡LCULO JUDICIAL-DEVOLVIDO BBTS"
13618,"HABILITAR OPERA«’ES REC JUD/FAL NCIA"
13619,"HABILITA«√O EM INVENT¡RIO (ATENDER SUBSIDIO)"
13620,"ESTUDAR PARTICIPA«√O EM HASTA P⁄BLICA"
13621,"REALIZAR AVERBA«√O PREMONIT”RIA AJURE/NUJUR"
13622,"REGISTRAR PENHORA"
13623,"ESTUDAR ADJUDICA«√O DE BEM"
13624,"MANIFESTAR SOBRE INDICA«√O DE BEM ¿ PENHORA"
13625,"RESPONDER SUBSÕDIO SOBRE HASTA E ADJUDICA«√O"
13626,"ATUALIZAR C¡LCULO JUDICIAL"
13627,"CRIAR OU ALTERAR NPJ"
13628,"FORNECER DOCUMENTO COMPLEMENTAR"
13629,"REALIZAR VÕNCULO DE BENEFÕCIO FISCAL"
13630,"CRIAR NPJ HABILITA«√O EM INVENT¡RIO"
13631,"INFORMAR ADIMPL NCIA DE PARCELA OU LIQUIDA«√O DO A"
13632,"ANALISAR RECORTES DE PUBLICA«’ES NO DO"
13633,"HABILITAR EM INVENT¡RIO (TRIAGEM)"
13634,"HABILITAR EM RECUPERA«√O JUDICIAL"
13635,"HABILITAR EM RECUPERA«√O EXTRAJUDICIAL"
13636,"HABILITAR EM FAL NCIA"
13637,"HABILITAR EM INSOLV NCIA CIVIL"
13638,"CONFECCIONAR C¡LCULO PARA HABILITA«√O (DEMAIS)"
13639,"HABILITAR EM INVENT¡RIO (C¡LCULOS)"
13640,"REALIZAR VÕNCULO EM NPJ HABILITA«√O"
13641,"ANALISAR RECORTES DE EDITAIS DE RJ/FAL NCIA E INSO"
13642,"ANALISAR RECORTES DE EDITAIS DO VALOR ECON‘MICO DE"
13643,"CONVOLA«√O EM FAL NCIA"
13644,"REALIZAR PROTESTO POR PREFER NCIA"
13645,"PR…-TRIAGEM-HABILITAR EM RECUPERA«√O JUDICIAL"
13646,"PR…-TRIAGEM-HABILITAR EM RECUPERA«√O EXTRAJUDICIAL"
13647,"PR…-TRIAGEM-HABILITAR EM FAL NCIA"
13648,"PR…-TRIAGEM-HABILITAR EM INSOLV NCIA CIVIL"
13649,"PR…-TRIAGEM-CONVOLA«√O EM FAL NCIA"
14066,"HABILITAR EM INVENT¡RIO (PORTAL JURÕDICO)"
13650,"RECEBER PARCELA DE OPERA«√O COM REBATE (FCO FUNCA"
13651,"RECEBER PARCELA DE OPERA«√O EM SER"
13652,"RECEBER PARCELA COM C¡LCULO MANUAL-PERIODICIDADE 2"
13653,"RECEBER ⁄LTIMA PARCELA DE OPERA«√O '¿ VISTA A PRAZ'"
13654,"RECEBER PARCELA DE OPERA«√O EM PERDAS"
13655,"INFORMAR VALOR DE PARCELA"
13656,"RECEBER PARCELA CR…DITO IMOBILI¡RIO (PRODU«√O)"
13657,"SOLICITAR AVALIA«√O T…CNICA-BENS IM”VEIS"
13658,"ELABORAR OPINI√O DE VALOR-BENS IM”VEIS"
13659,"SOLICITAR AVALIA«√O T…CNICA-BENS M”VEIS"
13660,"ELABORAR OPINI√O DE VALOR-BENS M”VEIS"
13661,"SOLICITAR AVALIA«√O T…CNICA-EMPREENDIMENTOS"
13662,"BAIXAR GRAVAME DE OPERA«√O"
13663,"BAIXAR GRAVAME DE OPERA«√O"
13664,"BAIXAR GRAVAME DE OPERA«√O"
13665,"REALIZAR P”S FORMALIZA«√O DE ALTERA«√O DE GARANTIA"
13666,"CADASTRAR OPERA«√O RURAL  NO ESCAI"
13667,"CADASTRAR VARIA«√O NO ESCAI"
13668,"XER-XER801 REGULARIZA«√O"
13669,"CADASTRAR OPERA«√O CREGE NO ESCAI"
13670,"REPASSAR HONOR¡RIOS ADVOCATÕCIOS SUCUMBENCIAIS E R"
13671,"REALIZAR P”S FORMALIZA«√O DO COP"
13672,"CONTABILIZAR-ASSESSORIA PR…VIA"
13673,"REALIZAR PROCEDIMENTOS DE P”S-CONTABILIZA«√O"
13674,"CONTABILIZAR-LIQUIDA«√O DE OPERA«√O EM PERDAS XER"
13675,"ESTORNAR RECEBIMENTO-IN 220 RECUPERA«√O JUDICIAL E"
13676,"RECONTABILIZAR OPERA«√O NO ESCAI"
13677,"CONTABILIZAR PROPOSTA-IN 220 PRJ COM VOTO FAVOR¡VE"
13678,"CONTABILIZAR PROPOSTA-IN 220 PRJ COM VOTO DESFAVOR"
13679,"CONTABILIZAR PROPOSTA-IN 220 FAL NCIA"
13680,"CONTABILIZAR PROPOSTA-IN 220 PLANO RECUPERA«√O EXT"
13681,"RECUPERAR DESPESAS-CESS√O MASSIFICADA"
13682,"REALIZAR PROCEDIMENTOS DE P”S-CONTABILIZA«√O PRJ"
13683,"CONTABILIZAR PROPOSTA-IN 13 PF E PJ"
13684,"CONTABILIZAR PROPOSTA-IN 217 PF E PJ"
13685,"CONTABILIZAR PROPOSTA-OUTRAS IN PF E PJ"
13686,"CONTABILIZAR PROPOSTA-CESS√O DE CR…DITO"
13687,"CONTABILIZAR PROPOSTA-PEC ¿ VISTA"
13688,"ESTUDAR ALTERA«√O DE GARANTIA DE OPERA«√O ADIMPLID"
13689,"ESTUDAR ASSUN«√O DE DÕVIDAS DE OPERA«√O SEC/PESA"
13690,"FORMALIZAR ALTERA«√O DE GARANTIA DE OPERA«√O ADIMP"
13691,"FORMALIZAR PROPOSTA-IN 220 RECUPERA«√O JUDICIAL E"
13692,"AJUSTAR INSTRUMENTO"
13693,"ASSESSORIA PR…VIA"
13694,"FORMALIZAR PROPOSTA-ESTEIRA EXPRESSA"
13695,"FORMALIZAR ACORDO DE INA«√O-GENAC ATACADO"
13696,"FORMALIZAR PROPOSTA-IN 217 PF E PJ-ATACADO"
13697,"FORMALIZAR PROPOSTA-ASSUN«√O DE DÕVIDAS"
13698,"FORMALIZAR PROPOSTA-IN 13 PF E PJ"
13699,"FORMALIZAR PROPOSTA-IN 217 PF E PJ-VAREJO"
13700,"FORMALIZAR PROPOSTA-OUTRAS IN PF E PJ"
13701,"FORMALIZAR PROPOSTA-CESS√O DE CR…DITO"
13702,"SOLICITAR PESQUISA DE BENS PARA EXAUST√O PATRIMONI"
13703,"SOLICITAR PESQ. BENS OU CERTID√O EM CART”RIO DE RE"
13704,"SOLICITAR CERTID√O OU PESQUISA PATRIMONIAL (CENTRA"
13705,"PESQUISA PATRIMONIAL PR… AJUIZAMENTO"
13706,"SOLICITAR INDICA«√O DE COMARCAS PARA EXAUST√O PATR"
13707,"SOLICITAR CERTID√O OU PESQUISA PATRIMONIAL (CENTRA"
13708,"VALORAR E CADASTRAR BENS - GS"
13709,"SOLICITAR CERTID√O DE ”BITO/INVENT¡RIO"
13710,"PAGAMENTO DE CDA"
13711,"ADMINISTRATIVO / FATURAMENTO CENTRAIS DE DESPACHAN"
13712,"CERTID√O A«√O CÕVEL IPTU CROQUI"
13713,"VALORAR E CADASTRAR BENS - BBTS"
13714,"CADASTRAR BENS-GS"
13715,"ATUALIZAR CADASTRO DE PESSOA FÕSICA"
13716,"ATUALIZAR CADASTRO DE PESSOA JURÕDICA"
13717,"CALCULAR PISO NEGOCIAL"
13718,"CALCULAR PISO NEGOCIAL-PR… 94"
13719,"CONFECCIONAR DEMONSTRATIVO DE DÕVIDAS"
13720,"RECALCULAR ANOTA«√O CADASTRAL"
13721,"RECLASSIFICAR ANOTA«√O CADASTRAL"
13722,"ACORDOS NEGOCIAIS-DIGITALIZAR DOCUMENTOS DO ARQUIV"
13723,"AJUIZAMENTO COMARCA DIGITAL-DIGITALIZAR DOCUMENTOS"
13724,"AJUIZAMENTO COMARCA FÕSICA - DISPONIBILIZAR DOCUME"
13725,"INSCREVER OPERA«√O EM DAU-FLUXO"
13726,"INSCREVER OPERA«√O EM DAU-ESTOQUE"
13727,"ATENDER SUBSÕDIOS/DEMANDAS CENOP-DAU"
13728,"TRATAR BEM IMOV RURAL GARANT ALIEN FIDUC PRD 0302"
13729,"TRATAR BEM IMOV URBANO GARANT ALIEN FIDUC PRD 0302"
13730,"TRATAR BEM IMOV URBANO GARANT ALIEN FIDUC DEMAIS P"
13731,"TRATAR BEM IMOV RURAL GARANT ALIEN FIDUC DEMAIS PR"
13732,"TRATAMENTO BENS MOV DIVERSOS-BUSCA E APREENS√O"
13733,"TRATAMENTO BENS MOV DIVERSOS-EXECU«√O"
13734,"TRATAMENTO BENS MOV DIVERSOS-REINTEGRA«√O DE POSSE"
13735,"TRATAMENTO IMOV RURAIS-CONSOLIDA«√O DE PROPRIEDADE"
13736,"TRATAMENTO IMOV RURAIS-EXECU«√O"
13737,"TRATAMENTO IMOV URBANOS-CONSOLIDA«√O DE PROPRIEDAD"
13738,"TRATAMENTO IMOV URBANOS-EXECU«√O"
13739,"TRATAMENTO SEMOVENTES-EXECU«√O"
13740,"TRATAMENTO VEÕCULOS-BUSCA E APREENS√O"
13741,"TRATAMENTO VEÕCULOS-EXECU«√O"
13742,"TRATAMENTO VEÕCULOS-REINTEGRA«√O DE POSSE"
13743,"PAGAR CUSTAS DE ARMAZENAGEM E DEPOSIT¡RIO"
13744,"FORNECER DOCUMENTOS/INFORMA«’ES"
13745,"CONFECCIONAR DEMONSTRATIVO DE DÕVIDAS PRD 0302-1 A"
13746,"FORNECER DOCUMENTOS/INFORM CR…DITO IMOBILI¡RIO"
13747,"FORNECER DOCUMENTOS/INFORM BENS M”VEIS N√O DE USO"
13748,"FORNECER DOCUMENTOS/INFORM BENS IM”VEIS N√O DE USO"
13749,"BLOQUEAR POR ASPECTO LEGAL-ESTOQUE-¿ REGULARIZAR"
13750,"BLOQUEAR POR ASPECTO LEGAL-FRAUDE"
13751,"BLOQUEAR POR ASPECTO LEGAL-LIMINAR JUDICIAL IMPEDI"
13752,"BLOQUEAR POR ASPECTO LEGAL-PRESCRI«√O"
13753,"BLOQUEAR POR ASPECTO LEGAL-REVISIONAL AGUARDANDO D"
13754,"BLOQUEAR POR ASPECTO LEGAL-SENTEN«A JUDICIAL IMPED"
13755,"BLOQUEAR POR ASPECTO LEGAL-VEÕCULOS-AJUIZAMENTO IN"
13756,"BLOQUEAR POR ASPECTO LEGAL-VÕCIO DOCUMENTAL"
13757,"BLOQUEAR POR ASPECTO LEGAL-BBTS"
13758,"INTIMAR CLIENTES DO BANCO DO BRASIL"
13759,"INTIMAR CLIENTES DO BANCO NOSSA CAIXA"
13760,"INCORPORAR IM”VEIS CONSOLIDADOS PELA FIDUCIAL"
13761,"INCORPORAR IM”VEIS-ESTEIRA COMPLETA"
13762,"PAGAR SERVI«OS - FIDUCIAL"
13763,"CONSOLIDA«√O DE IM”VEL - CLIENTE DO BB"
13764,"RESSARCIMENTO - FIDUCIAL"
13765,"CONSOLIDA«√O DE IM”VEL - CLIENTE DO BNC"
13766,"INTIMAR CLIENTES-REVIS√O DE KIT"
13767,"CONSOLIDA«√O DE IM”VEIS-ESTEIRA COMPLETA"
13768,"ASSESSORIA ENTREGA AMIG¡VEL"
13970,"ACP - DESBLOQUEIO OPERA«√O"
13769,"ACOMPANHAR OCORR NCIAS XER 801"
13770,"CONSULTAR BALANCETES ABERTOS"
13771,"REALIZAR A CONCILIA«√O CONT¡BIL DE PRECAT”RIOS"
13772,"TRATAR OCORR NCIAS XER 760"
13773,"VERIFICAR PAR¬METROS"
13774,"ATUALIZ OPER SALDO SUPERIOR 25 MI NA DATABASE"
13775,"PROVISION RENDAS SDO SUPERIOR A 25 MI ULT DIA UTIL"
13776,"ATUALIZ OPER SALDO ENTRE 5 MI A 25 MI NA DATABASE"
13777,"ATUALIZ OPER SALDO INFERIOR 5 MI NA DATABASE"
13778,"P”S HABILITA«√O DE RJ-ANOTA«√O CADASTRAL"
13779,"CONFECCIONAR DEMONSTRATIVO DE DÕVIDAS"
13780,"DISPONIBILIZAR C”PIA DO INSTRUMENTO DE CR…DITO"
13781,"DISPONIBILIZAR VIA ORIGINAL DO INSTRUMENTO DE CR…D"
13782,"AJUIZAMENTO-DISPONIBILIZAR C”PIAS DOS DOCUMENTOS D"
13794,"CADASTRAMENTO PRAZO E TAXA"
13795,"ELASTECIMENTO PRAZO"
13796,ATIVACAO/REATIVACAO
14293,"PORTAL DE CONSIGNA«√O"
14487,"MANUTEN«√O DE PAR¬METROS"
21545,"SUPLEMENTA«√O OR«AMENT¡RIA"
14418,ASSESSORIA
21671,"COMPET NCIAS ANTERIORES"
21672,"ANTECIPA«√O DE ARQUIVO"
23597,"CONFERIR PLANILHA"
13798,"EXPORTA«√O PRONTO"
13950,ACC
13974,PROEX
13975,FUTURO
13940,"C¬MBIO TRAVADO"
13941,"PA - IMPORTA«√O"
13953,IMP
13954,OPE
22095,ORE
22096,EXP
23905,"ORE - BB NY"
23966,FRANKFURT
14037,"RECOLHIMENTO DE IR"
14642,"EDITAR CONTRATO"
21118,LIQUIDAR
14654,"MT 192"
21716,C¬MBIO
21718,"DESPESA DE BANQUEIRO"
21719,"JUROS E COMISS’ES"
23893,R⁄SSIA
23894,"OUTROS PAÕSES"
23967,"BB FRANKFURT"
13870,"COMPENSACI”N CHEQUE - DESBLOQUEIO"
13871,"COMPENSACI”N CHEQUE - REGISTROS"
13872,"RECEPCI”N DE DEP”SITOS EN CHEQUE - REGISTRO"
13873,"AN¡LISIS DE CLIENTES Y OPERACIONES"
13874,"CADASTRO DE CLIENTES Y PROVEEDORES - FLEXCUBE"
13875,"CADASTRO DE CLIENTES Y PROVEEDORES - SISBB"
13876,"AN¡LISIS Y RESPUESTA DE OFICIOS JUDICIALES"
13877,"DEP”SITOS A PLAZO FIJO"
13878,"PAGOS MENORES - REEMBOLSO"
13879,"PAGOS MENORES - REGISTRO"
13880,"RELACIONAMIENTO CON PROVEEDORES - PAGOS"
13881,"RELACIONAMIENTO CON PROVEEDORES - PROVISIONES"
13882,"PROVISAO E DEFERIMENTOS"
13883,INTERNAS
13884,"SIPAP - ENTRANTES"
13885,"SIPAP - SALIENTES"
13886,"SWIFT - ENTRANTES"
13887,"SWIFT - SALIENTES"
13889,"REPORTES REGULATORIOS"
13890,"CONCILIACION Y ACOMPANAMIENTO DE CUENTAS"
22245,"ACC/ACE - RISCO H"
13869,FORMALIZAR
14652,DESEMBOLSAR
14703,"RETIFICAR PCI"
16476,ESTUDAR
16583,"COMPROVA«√O DE IR"
16948,"AVISO DE VENCIMENTO"
21971,"REGISTRAR DESEMBOLSO"
22803,"FINIMP REPASSE"
13966,D+0
13967,D+1
13968,D+2
13969,FORMALIZAR
14351,"CONDUZIR - AVISO DE BANQUEIRO"
14451,"REGISTRAR DESEMBOLSO"
14653,DESEMBOLSAR
16630,"COMPROVA«√O DE IR"
17202,ESTUDAR
14243,FORMALIZAR
17201,ESTUDAR
17612,CONDUZIR
17613,EMITIR
17614,REGULARIZAR
14547,"FINIMP REPASSE"
17203,ACC/ACE
22262,"FINIMP DIRETO"
22263,"CARTA DE CR…DITO DE IMPORTA«√O"
22264,"ACC/ACE PRORROGA«√O"
22265,"EMPR…STIMO 4.131"
22266,"GARANTIAS INTERNACIONAIS"
22267,PPE
22626,VAZIO
24231,"FINIMP DIGITAL"
14548,SOLICITA«√O
21554,ESTUDAR
14640,"FORMALIZAR CLA⁄SULA"
14641,SOLICITA«√O
14643,ACC
14644,"TRATAR MENSAGEM"
14647,"REGISTRO DE DESEMBOLSO - A1/DIRETO"
14655,"BAIXAR GARANTIA INTERNACIONAL - A1"
16963,"REGISTRO DE DESEMBOLSO - REPASSE"
21753,"CARTA DE CR…DITO IMPORTA«√O"
14646,GDC
14648,"INDISPONIBILIDADE DE SISTEMA"
14649,SOLICITA«√O
